what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1428045742924
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1428045742934
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1428045743124
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1428045743364
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1428045743414
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1428045743504
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1428045786774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045787824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045788624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045799374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045806474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045843974
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428045844104
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1428045845424
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1428045845434
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1428045845884
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1428045845974
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1428045846104
