127.0.0.1 - - [12/Jan/2015:22:24:41 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:25:15 +0800] "GET /dew/ HTTP/1.1" 500 6212
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/page/user/login.jsp HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/css/common.css HTTP/1.1" 200 9650
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/css/ddsmoothmenu.css HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/css/login.css HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/images/templatemo_body_top.jpg HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/images/templatemo_menubar.png HTTP/1.1" 200 4730
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/images/templatemo_search_bg.png HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:26:54 +0800] "GET /dew/images/templatemo_main_bg.png HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:27:00 +0800] "GET /dew/page/index.jsp HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:27:25 +0800] "GET /dew/index.jsp HTTP/1.1" 500 6212
0:0:0:0:0:0:0:1 - - [12/Jan/2015:22:28:08 +0800] "GET /dew/index.jsp HTTP/1.1" 500 6212
